ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
AR-AR1,Puerto de Somport,,,,,42.79572,-0.52511,1632
,,,,AR-AR2,Candanchú,42.78945,-0.52455,1514
AR-AR2,Candanchú,,,,,42.78945,-0.52455,1514
,,AR-AR2-1,Hospital of Santa Cristina,,,42.78984,-0.52498,1534
,,,,AR-AR3,Canfranc-Estacion,42.75154,-0.51526,1197
AR-AR3,Canfranc-Estacion,,,,,42.75154,-0.51526,1197
,,AR-AR3-1,Fuerte de Coll de Ladrones,,,42.76432,-0.50931,1330
,,AR-AR3-2,International Station,,,42.75173,-0.51424,1197
,,,,AR-AR4,Canfranc,42.71976,-0.52525,1051
AR-AR4,Canfranc,,,,,42.71976,-0.52525,1051
,,AR-AR4-1,Cascada de anfranc,,,42.72565,-0.52224,1106
,,AR-AR4-2,Castillo de Canfranc,,,42.71840,-0.52533,1051
,,AR-AR4-3,Fountain,,,42.71838,-0.52490,1043
,,,,AR-AR5,Villanúa,42.68140,-0.53606,956
AR-AR5,Villanúa,,,,,42.68140,-0.53606,956
,,AR-AR5-1,Villanúa Tourist Office,,,42.68283,-0.53227,956
,,AR-AR5-2,Cueva de las Güixas,,,42.68455,-0.53011,984
,,AR-AR5-3,Mediaeval Bridge,,,42.68256,-0.53284,956
,,,,.,,42.66256,-0.55416,920
,,,,.,,42.65970,-0.56067,957
,,,,AR-AR6,Aratorés,42.65644,-0.56178,960
AR-AR6,Aratorés,,,,,42.65644,-0.56178,960
,,AR-AR6-1,Fountain,,,42.64977,-0.55863,930
,,,,AR-AR7,Castiello de Jaca,42.63057,-0.54969,894
AR-AR7,Castiello de Jaca,,,,,42.63057,-0.54969,894
,,AR-AR7-1,Pilgrim Monument and Fountain,,,42.62859,-0.54845,864
,,,,AR-AR8,Ermita de San Cristóbal,42.58455,-0.54528,790
AR-AR8,Ermita de San Cristóbal,,,,,42.58455,-0.54528,790
,,,,.,,42.57896,-0.54722,825
,,,,AR-AR9,Jaca,42.57192,-0.54972,823
AR-AR9,Jaca,,,,,42.57192,-0.54972,823
,,AR-AR9-1,Jaca Tourist Office,,,42.57105,-0.54965,823
,,AR-AR9-2,Cathedral of St Peter,,,42.57090,-0.54949,823
,,AR-AR9-3,Citadel of St Peter,,,42.57198,-0.55162,818
,,AR-AR9-4,Clock Tower,,,42.56869,-0.54933,819
,,AR-AR9-5,Mural of the Camino,,,42.57885,-0.54796,823
,,,,AR-AR10,Rio Gas,42.55665,-0.60216,726
AR-AR10,Rio Gas,,,,,42.55665,-0.60216,726
,,,,AR-AR11,Santa Cilla de Jaca,42.55988,-0.71486,648
,,,,.,,42.55110,-0.59957,786
,,,,.,,42.54409,-0.60373,960
,,,,.,,42.54353,-0.60931,1017
,,,,.,,42.53366,-0.61001,885
,,,,AR-SP1,Atarés,42.53291,-0.62390,801
AR-AR11,Santa Cilla de Jaca,,,,,42.55988,-0.71486,648
,,AR-AR11-1,Pilgrim Monument and Fountain,,,42.55993,-0.71435,649
,,AR-AR11-2,Mirador Canal de Berdún,,,42.55423,-0.67067,732
,,,,AR-AR12,Puente la Reina de Jaca,42.55411,-0.78599,608
AR-AR12,Puente la Reina de Jaca,,,,,42.55411,-0.78599,608
,,AR-AR12-1,Puente la Reina de Jaca Tourist Office,,,42.55791,-0.78680,604
,,AR-AR12-2,Heaps of Stones left by Pilgrims,,,42.55480,-0.78190,602
,,AR-AR12-3,Mesón de la Reina,,,42.55677,-0.78601,601
,,,,AR-AR13,Arrés,42.55555,-0.82697,703
AR-AR13,Arrés,,,,,42.55555,-0.82697,703
,,AR-AR13-1,Limited Food and Water,,,42.55622,-0.82685,716
,,,,AR-AR14,La Pardina del Solano,42.56940,-0.85463,577
AR-AR14,La Pardina del Solano,,,,,42.56940,-0.85463,577
,,,,.,,42.58664,-0.90861,596
,,,,.,,42.59033,-0.94580,559
,,,,AR-AR15,Artieda,42.58669,-0.98336,614
AR-AR15,Artieda,,,,,42.58669,-0.98336,614
,,,,.,,42.58985,-1.00926,544
,,,,AR-AR16,Ruesta,42.58901,-1.07566,553
AR-AR16,Ruesta,,,,,42.58901,-1.07566,553
,,AR-AR16-1,Castillo de Ruesta,,,42.59002,-1.07780,539
,,,,.,,42.57545,-1.08190,562
,,,,.,,42.58076,-1.08787,588
,,,,.,,42.56347,-1.13432,829
,,,,AR-AR17,Undués de Lerda,42.56590,-1.16974,621
AR-AR17,Undués de Lerda,,,,,42.56590,-1.16974,621
,,AR-AR17-1,Detour to Castillo de Javier,,,42.57410,-1.19154,512
,,,,AR-AR18,Sangüesa,42.57668,-1.28434,405
,,,,.,,42.58039,-1.20920,500
,,,,AR-J1,Javier,42.59097,-1.20911,453
AR-AR18,Sangüesa,,,,,42.57668,-1.28434,405
,,AR-AR18-1,Sangüesa Tourist Office,,,42.57684,-1.28524,401
,,AR-AR18-2,Church of Santa María la Real,,,42.57708,-1.28514,401
,,AR-AR18-3,Palace of the Kings of Navarre,,,42.57741,-1.28360,405
,,AR-AR18-4,Convento San Francisco de Asís,,,42.57741,-1.28360,405
,,AR-AR18-5,Detour to Liédena and Lumbier,,,42.57798,-1.28697,403
,,,,AR-AR19,Rocaforte,42.59238,-1.28888,454
,,,,AR-L1,Liédena,42.61680,-1.27698,412
AR-AR19,Rocaforte,,,,,42.59238,-1.28888,454
,,,,AR-AR20,Aibar Pass,42.62182,-1.35049,698
AR-AR20,Aibar Pass,,,,,42.62182,-1.35049,698
,,,,.,,42.63451,-1.35515,599
,,,,.,,42.63680,-1.36311,661
,,,,.,,42.64472,-1.36489,628
,,,,.,,42.65456,-1.39715,786
,,,,.,,42.65622,-1.40229,733
,,,,AR-AR21,Izco,42.65707,-1.42903,714
AR-AR21,Izco,,,,,42.65707,-1.42903,714
,,,,.,,42.66002,-1.43748,695
,,,,.,,42.66112,-1.44383,716
,,,,AR-AR22,Abinzano,42.66385,-1.45135,701
AR-AR22,Abinzano,,,,,42.66385,-1.45135,701
,,,,.,,42.67567,-1.47319,608
,,,,AR-AR23,Salinas de Ibargoti,42.69246,-1.48731,561
AR-AR23,Salinas de Ibargoti,,,,,42.69246,-1.48731,561
,,AR-AR23-1,Puente medieval,,,42.69058,-1.48685,560
,,,,AR-AR24,Monreal,42.70503,-1.50778,547
AR-AR24,Monreal,,,,,42.70503,-1.50778,547
,,,,.,,42.70661,-1.50995,555
,,,,.,,42.71719,-1.53009,508
,,,,.,,42.71409,-1.54936,512
,,,,AR-AR25,Yámoz,42.71162,-1.54934,551
AR-AR25,Yámoz,,,,,42.71162,-1.54934,551
,,AR-AR25-1,Canal de Navarra,,,42.71451,-1.55005,512
,,,,.,,42.71269,-1.55449,528
,,,,.,,42.71257,-1.55749,540
,,,,.,,42.71228,-1.56359,523
,,,,AR-AR26,Otano,42.71222,-1.56786,545
,,,,.,,42.71448,-1.54953,513
,,,,.,,42.71408,-1.56049,501
,,,,.,,42.71464,-1.56979,511
,,,,AR-AR27,Ezperun,42.71243,-1.58787,545
AR-AR26,Otano,,,,,42.71222,-1.56786,545
,,,,AR-AR27,Ezperun,42.71243,-1.58787,545
AR-AR27,Ezperun,,,,,42.71243,-1.58787,545
,,,,AR-AR28,Guerendián,42.70598,-1.60299,589
,,,,.,,42.71109,-1.60980,501
,,,,.,,42.69680,-1.63699,547
,,,,AR-AR29,Tiebas,42.69314,-1.64045,577
AR-AR28,Guerendián,,,,,42.70598,-1.60299,589
,,,,AR-AR29,Tiebas,42.69314,-1.64045,577
AR-AR29,Tiebas,,,,,42.69314,-1.64045,577
,,AR-AR29-1,Castillo de Tiebas,,,42.69705,-1.63776,558
,,,,AR-AR30,Muruarte de Reta,42.66729,-1.66469,562
AR-AR30,Muruarte de Reta,,,,,42.66729,-1.66469,562
,,,,AR-AR31,Olcoz,42.66615,-1.68075,583
AR-AR31,Olcoz,,,,,42.66615,-1.68075,583
,,AR-AR31-1,Olkozko dorrea,,,42.66574,-1.68170,585
,,,,AR-AR32,Enériz,42.67067,-1.72885,427
AR-AR32,Enériz,,,,,42.67067,-1.72885,427
,,,,AR-AR33,Iglesia de Santa María de Eunate,42.67237,-1.76145,392
AR-AR33,Iglesia de Santa María de Eunate,,,,,42.67237,-1.76145,392
,,,,.,,42.67817,-1.77277,389
,,,,.,,42.67989,-1.78041,389
,,,,F-F34,Placeholder for F-F34,0.00000,0.00000,--
AR-SP1,Atarés,,,,,42.53291,-0.62390,801
,,,,.,,42.50797,-0.62885,1072
,,,,.,,42.50447,-0.63966,1146
,,,,AR-SP2,Monasterio Nuevo de San Juan de Péna,42.50793,-0.66536,1214
AR-SP2,Monasterio Nuevo de San Juan de Péna,,,,,42.50793,-0.66536,1214
,,,,AR-SP3,Monasterio Viejo de San Juan de Péna,42.50791,-0.67277,1177
AR-SP3,Monasterio Viejo de San Juan de Péna,,,,,42.50791,-0.67277,1177
,,,,.,,42.51480,-0.67149,1128
,,,,.,,42.51525,-0.66531,1090
,,,,.,,42.51906,-0.66694,937
,,,,.,,42.52169,-0.67469,790
,,,,AR-SP4,Santa Cruz de la Serós,42.52312,-0.67392,784
AR-SP4,Santa Cruz de la Serós,,,,,42.52312,-0.67392,784
,,,,.,,42.52827,-0.67508,843
,,,,.,,42.53164,-0.68724,878
,,,,.,,42.54199,-0.69798,754
,,,,AR-SP5,Binacua,42.54663,-0.69839,760
AR-SP5,Binacua,,,,,42.54663,-0.69839,760
,,,,.,,42.55506,-0.70147,678
,,,,AR-AR11,Santa Cilla de Jaca,42.55988,-0.71486,648
AR-J1,Javier,,,,,42.59097,-1.20911,453
,,AR-J1-1,Castillo de Javier,,,42.59419,-1.21577,471
,,,,.,,42.59252,-1.22117,490
,,,,.,,42.58494,-1.22571,572
,,,,AR-AR18,Sangüesa,42.57668,-1.28434,405
,,,,.,,42.60016,-1.21870,428
,,,,.,,42.61613,-1.21129,427
,,,,AR-Y1,Yesa,42.62022,-1.20329,495
AR-L1,Liédena,,,,,42.61680,-1.27698,412
,,AR-L1-1,Via verde del Irati,,,42.61716,-1.27878,412
,,,,.,,42.61798,-1.28337,413
,,,,.,,42.61700,-1.28847,405
,,,,.,,42.61827,-1.28445,416
,,,,.,,42.62521,-1.30178,446
