ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
BM-1,Bondi Beach,,,,,-33.89108,151.27612,11
,,BM-1-1,Bondi Beach,,,-33.89147,151.27668,7
,,,,BM-2,North Bondi,-33.89051,151.28216,7
BM-2,North Bondi,,,,,-33.89051,151.28216,7
,,,,BM-3,Bamford Reserve,-33.88340,151.28337,68
BM-3,Bamford Reserve,,,,,-33.88340,151.28337,68
,,,,BM-4,Rodney Reserve,-33.87313,151.28408,83
BM-4,Rodney Reserve,,,,,-33.87313,151.28408,83
,,BM-4-1,Radio Astronomy Site,,,-33.87345,151.28425,83
,,,,BM-5,Cliff-Top Walk,-33.86666,151.28339,35
BM-5,Cliff-Top Walk,,,,,-33.86666,151.28339,35
,,,,.,,-33.86572,151.28070,61
,,,,BM-6,Diamond Bay,-33.86172,151.28178,46
BM-6,Diamond Bay,,,,,-33.86172,151.28178,46
,,,,BM-7,Lighthouse Reserve,-33.85383,151.28609,82
BM-7,Lighthouse Reserve,,,,,-33.85383,151.28609,82
,,BM-7-1,Macquarie Lighthouse,,,-33.85390,151.28519,89
,,BM-7-2,South Head Signal Station,,,-33.85036,151.28680,79
,,,,BM-8,Gap Park,-33.84674,151.28623,54
BM-8,Gap Park,,,,,-33.84674,151.28623,54
,,,,BM-9,The Gap,-33.84303,151.28424,24
BM-9,The Gap,,,,,-33.84303,151.28424,24
,,,,BM-10,Gap Bluff,-33.84204,151.28493,39
BM-10,Gap Bluff,,,,,-33.84204,151.28493,39
,,,,BM-11,Gap Bluff Road,-33.84132,151.28246,30
BM-11,Gap Bluff Road,,,,,-33.84132,151.28246,30
,,,,BM-12,Camp Cove,-33.83906,151.27965,6
BM-12,Camp Cove,,,,,-33.83906,151.27965,6
,,BM-12-1,Camp Cove Beach,,,-33.83907,151.27951,5
,,,,BM-13,South Head,-33.83351,151.28093,23
BM-13,South Head,,,,,-33.83351,151.28093,23
,,BM-13-1,Lady Bay Beach,,,-33.83553,151.27943,4
,,BM-13-2,Lightkeeper's Cottages,,,-33.83352,151.28009,20
,,BM-13-3,Hornby Lighthouse,,,-33.83350,151.28092,22
,,,,BM-14,Camp Cove (Return),-33.83912,151.27959,6
BM-14,Camp Cove (Return),,,,,-33.83912,151.27959,6
,,,,BM-15,Green Point Reserve,-33.84082,151.27678,6
BM-15,Green Point Reserve,,,,,-33.84082,151.27678,6
,,BM-15-1,First Landing Obelisk,,,-33.84068,151.27669,5
,,,,BM-16,Watson's Bay,-33.84330,151.28188,6
BM-16,Watson's Bay,,,,,-33.84330,151.28188,6
,,,,BM-17,Gibson's Beach,-33.84657,151.28104,5
BM-17,Gibson's Beach,,,,,-33.84657,151.28104,5
,,BM-17-1,Gibson's Beach,,,-33.84655,151.28099,4
,,,,BM-18,Parsley Bay,-33.85068,151.27742,11
BM-18,Parsley Bay,,,,,-33.85068,151.27742,11
,,BM-18-1,Vaucluse House,,,-33.85581,151.27366,18
,,,,BM-19,Steele Point,-33.85102,151.26581,7
BM-19,Steele Point,,,,,-33.85102,151.26581,7
,,,,BM-20,Milk Beach,-33.85654,151.26729,4
BM-20,Milk Beach,,,,,-33.85654,151.26729,4
,,BM-20-1,Milk Beach,,,-33.85653,151.26730,4
,,BM-20-2,Little Bay,,,-33.85734,151.26810,4
,,BM-20-3,Hermit Beach,,,-33.85875,151.26913,4
,,,,BM-21,Queens Beach,-33.86135,151.26897,6
BM-21,Queens Beach,,,,,-33.86135,151.26897,6
,,BM-21-1,Queens Beach,,,-33.86135,151.26887,4
,,,,BM-22,Hermitage Reserve,-33.86346,151.26947,13
BM-22,Hermitage Reserve,,,,,-33.86346,151.26947,13
,,,,.,,-33.86619,151.27187,35
,,,,BM-23,Rose Bay,-33.86851,151.26921,5
BM-23,Rose Bay,,,,,-33.86851,151.26921,5
,,BM-23-1,Rose Bay Beach,,,-33.86851,151.26899,4
,,,,BM-24,Lyne Park,-33.87078,151.26245,5
BM-24,Lyne Park,,,,,-33.87078,151.26245,5
,,,,BM-25,Rose Bay Park,-33.86993,151.25341,6
BM-25,Rose Bay Park,,,,,-33.86993,151.25341,6
,,BM-25-1,Bellamy Beach,,,-33.86949,151.25346,4
,,,,BM-26,Point Piper,-33.86455,151.25101,26
BM-26,Point Piper,,,,,-33.86455,151.25101,26
,,,,BM-27,Seven Schillings Beach,-33.87152,151.24824,4
BM-27,Seven Schillings Beach,,,,,-33.87152,151.24824,4
,,BM-27-1,Seven Schillings Beach,,,-33.87182,151.24781,5
,,,,BM-28,Double Bay,-33.87392,151.24312,5
BM-28,Double Bay,,,,,-33.87392,151.24312,5
,,BM-28-1,Double Bay Beach,,,-33.87391,151.24364,4
,,,,.,,-33.87340,151.23876,42
,,,,BM-29,Darling Point,-33.86668,151.23960,6
BM-29,Darling Point,,,,,-33.86668,151.23960,6
,,,,.,,-33.86882,151.23909,34
,,,,BM-30,Rushcutters Bay,-33.87429,151.23062,5
BM-30,Rushcutters Bay,,,,,-33.87429,151.23062,5
,,,,.,,-33.87134,151.22523,42
,,,,BM-31,Kings Cross,-33.86920,151.22557,33
BM-31,Kings Cross,,,,,-33.86920,151.22557,33
,,,,BM-32,Wooloomooloo,-33.86920,151.22041,6
BM-32,Wooloomooloo,,,,,-33.86920,151.22041,6
,,BM-32-1,Finger Wharf,,,-33.86905,151.22003,6
,,BM-32-2,Art Gallery of New South Wales,,,-33.86880,151.21741,26
,,,,BM-33,Mrs Macquarie's Point,-33.85966,151.22260,10
BM-33,Mrs Macquarie's Point,,,,,-33.85966,151.22260,10
,,,,BM-34,Farm Cove,-33.86334,151.21849,4
BM-34,Farm Cove,,,,,-33.86334,151.21849,4
,,BM-34-1,Royal Botanic Gardens,,,-33.86411,151.21751,5
,,,,BM-35,Bennelong Point,-33.85614,151.21523,6
BM-35,Bennelong Point,,,,,-33.85614,151.21523,6
,,BM-35-1,Sydney Opera House,,,-33.85678,151.21529,18
,,,,BM-36,Circular Quay,-33.86103,151.20966,6
BM-36,Circular Quay,,,,,-33.86103,151.20966,6
,,BM-36-1,Museum of Contemporary Art,,,-33.85993,151.20902,7
,,,,BM-37,The Rocks,-33.85449,151.20998,4
BM-37,The Rocks,,,,,-33.85449,151.20998,4
,,,,BM-38,Harbour Bridge (South),-33.85868,151.20682,27
BM-38,Harbour Bridge (South),,,,,-33.85868,151.20682,27
,,,,.,,-33.85584,151.20851,16
,,,,BM-39,Harbour Bridge (North),-33.84626,151.21274,36
BM-39,Harbour Bridge (North),,,,,-33.84626,151.21274,36
,,,,BM-40,Milsons Point,-33.84989,151.21159,8
BM-40,Milsons Point,,,,,-33.84989,151.21159,8
,,,,BM-41,Kirribilli,-33.85094,151.21980,4
BM-41,Kirribilli,,,,,-33.85094,151.21980,4
,,,,BM-42,Milson Park,-33.84453,151.21529,5
BM-42,Milson Park,,,,,-33.84453,151.21529,5
,,,,BM-43,Kesterton Park,-33.84500,151.21860,5
BM-43,Kesterton Park,,,,,-33.84500,151.21860,5
,,,,.,,-33.84256,151.21418,20
,,,,BM-44,Anderson Park,-33.84034,151.21604,6
BM-44,Anderson Park,,,,,-33.84034,151.21604,6
