ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
FI-F2,Sarela de Baixo,,,,,42.87872,-8.56837,233
,,,,FI-F3,Quintáns,42.88035,-8.58761,153
FI-F3,Quintáns,,,,,42.88035,-8.58761,153
,,,,FI-F4,Alto do Vento,42.88098,-8.62415,174
FI-F4,Alto do Vento,,,,,42.88098,-8.62415,174
,,,,FI-F5,Lombao,42.88642,-8.63250,107
FI-F5,Lombao,,,,,42.88642,-8.63250,107
,,,,FI-F6,Augapesada,42.88858,-8.65071,59
FI-F6,Augapesada,,,,,42.88858,-8.65071,59
,,,,FI-F7,Trasmonte,42.89324,-8.68286,218
FI-F7,Trasmonte,,,,,42.89324,-8.68286,218
,,,,FI-F8,Ponte Maceira,42.90536,-8.69505,140
FI-F8,Ponte Maceira,,,,,42.90536,-8.69505,140
,,,,FI-F9,Barca,42.90565,-8.71560,143
FI-F9,Barca,,,,,42.90565,-8.71560,143
,,,,FI-F10,A Chancela,42.90897,-8.72922,180
FI-F10,A Chancela,,,,,42.90897,-8.72922,180
,,,,FI-F11,Negreira,42.90957,-8.73470,157
FI-F11,Negreira,,,,,42.90957,-8.73470,157
,,,,FI-F12,A Pena,42.93104,-8.80939,359
FI-F12,A Pena,,,,,42.93104,-8.80939,359
,,,,FI-F13,Vilaserio,42.94291,-8.84989,349
FI-F13,Vilaserio,,,,,42.94291,-8.84989,349
,,,,FI-F14,Maroñas,42.96359,-8.91163,320
FI-F14,Maroñas,,,,,42.96359,-8.91163,320
,,,,FI-F15,Santa Mariña,42.95695,-8.91911,332
FI-F15,Santa Mariña,,,,,42.95695,-8.91911,332
,,,,FI-F16,Vilar do Castro,42.95666,-8.95715,415
FI-F16,Vilar do Castro,,,,,42.95666,-8.95715,415
,,FI-F16-1,Alternative Routes,,,42.95664,-8.95717,415
,,,,.,,42.96526,-8.96003,427
,,,,.,,42.96606,-8.97661,320
,,,,FI-F17,Lago - Abeleiroas,42.96275,-8.98381,329
,,,,FI-F22,A Picota,42.93870,-8.99260,310
