ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
F-F1,Saint-Jean-Pied-de-Port,,,,,43.16340,-1.23579,185
,,,,F-F2,Huntto,43.12428,-1.24495,495
,,,,F-F4,Arnéguy (por Valcarlos),43.10874,-1.28212,257
F-F2,Huntto,,,,,43.12428,-1.24495,495
,,,,F-F3,Orisson,43.10871,-1.23916,800
F-F3,Orisson,,,,,43.10871,-1.23916,800
,,,,.,,43.02618,-1.29545,1419
,,,,F-F7,Roncesvalles (Orreaga),43.00870,-1.31992,947
F-F4,Arnéguy (por Valcarlos),,,,,43.10874,-1.28212,257
,,,,F-F5,Luzaide/Valcarlos,43.09297,-1.30174,365
F-F5,Luzaide/Valcarlos,,,,,43.09297,-1.30174,365
,,,,F-F6,Ibañeta,43.02009,-1.32438,1061
F-F6,Ibañeta,,,,,43.02009,-1.32438,1061
,,,,F-F7,Roncesvalles (Orreaga),43.00870,-1.31992,947
F-F7,Roncesvalles (Orreaga),,,,,43.00870,-1.31992,947
,,F-F7-1,Real Colegiata de Santa Maria de Roncesvalles,,,43.00999,-1.31948,958
,,,,F-F8,Burguete (Auritz),42.98935,-1.33585,893
F-F8,Burguete (Auritz),,,,,42.98935,-1.33585,893
,,,,F-F9,Espinal (Aurizberri),42.97913,-1.36951,872
F-F9,Espinal (Aurizberri),,,,,42.97913,-1.36951,872
,,,,F-F10,Puerto de Mezkiritz,42.97990,-1.38658,928
F-F10,Puerto de Mezkiritz,,,,,42.97990,-1.38658,928
,,,,F-F11,Bizkarreta (Gerendiain),42.96846,-1.41700,781
F-F11,Bizkarreta (Gerendiain),,,,,42.96846,-1.41700,781
,,,,F-F12,Linzoáin (Lintzoain),42.96233,-1.43779,742
F-F12,Linzoáin (Lintzoain),,,,,42.96233,-1.43779,742
,,,,.,,42.96085,-1.45244,838
,,,,.,,42.94913,-1.46588,852
,,,,F-F13,Alto de Erro,42.94164,-1.47045,798
F-F13,Alto de Erro,,,,,42.94164,-1.47045,798
,,,,F-F14,Zubiri,42.93468,-1.50356,530
F-F14,Zubiri,,,,,42.93468,-1.50356,530
,,,,F-F15,Ilarratz,42.91102,-1.51711,550
F-F15,Ilarratz,,,,,42.91102,-1.51711,550
,,,,F-F16,Eskirotz,42.90788,-1.52487,528
F-F16,Eskirotz,,,,,42.90788,-1.52487,528
,,,,F-F17,Larrasoaña (Larrasoaina),42.90165,-1.54123,496
F-F17,Larrasoaña (Larrasoaina),,,,,42.90165,-1.54123,496
,,,,F-F18,Aquerreta (Akerreta),42.89647,-1.54365,531
F-F18,Aquerreta (Akerreta),,,,,42.89647,-1.54365,531
,,,,F-F19,Zuriáin (Zuriain),42.87865,-1.56617,481
F-F19,Zuriáin (Zuriain),,,,,42.87865,-1.56617,481
,,,,F-F20,Iroz (Irotz),42.86179,-1.57080,476
F-F20,Iroz (Irotz),,,,,42.86179,-1.57080,476
,,,,F-F21,Zabaldica (Zabaldika),42.85597,-1.58192,505
F-F21,Zabaldica (Zabaldika),,,,,42.85597,-1.58192,505
,,F-F21-1,Iglesia de San Esteban,,,42.85607,-1.58170,503
,,,,F-F22,Arleta,42.84776,-1.58710,465
F-F22,Arleta,,,,,42.84776,-1.58710,465
,,,,F-F23,Trinidad de Arre,42.83408,-1.60576,433
F-F23,Trinidad de Arre,,,,,42.83408,-1.60576,433
,,,,F-F24,Vilava,42.82814,-1.61288,430
F-F24,Vilava,,,,,42.82814,-1.61288,430
,,,,F-F25,Burlada,42.82503,-1.61722,426
F-F25,Burlada,,,,,42.82503,-1.61722,426
,,,,F-F26,Pamplona,42.81831,-1.64510,445
F-F26,Pamplona,,,,,42.81831,-1.64510,445
,,F-F26-1,Oratorio San Felipe Neri,,,42.81755,-1.64474,449
,,,,F-F27,Cizur Menor,42.78786,-1.67617,466
F-F27,Cizur Menor,,,,,42.78786,-1.67617,466
,,F-F27-1,Iglesia Sanjuanista,,,42.78873,-1.67437,463
,,,,F-F28,Zariquiegui,42.74826,-1.72271,622
,,,,F-F29,Cizur Mayor,42.79298,-1.69506,468
F-F28,Zariquiegui,,,,,42.74826,-1.72271,622
,,F-F28-1,Alto del Perdón,,,42.73577,-1.74244,753
,,,,.,,42.73560,-1.74237,759
,,,,F-F32,Uterga,42.70860,-1.76140,483
F-F29,Cizur Mayor,,,,,42.79298,-1.69506,468
,,,,F-F30,Paternáin,42.78627,-1.74164,436
