ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
GA-GA1,Braga,,,,,41.54979,-8.42741,186
,,AG-AG1-1,Braga Cathedral,,,41.55022,-8.42693,186
,,AG-AG1-2,Posto de Turismo de Braga,,,41.55107,-8.42259,189
,,AG-AG1-3,Arco da Porta Nova,,,41.55028,-8.42934,177
,,AG-AG1-4,Chafariz do Castelos,,,41.55076,-8.42635,187
,,AG-AG1-5,Jardim de Santa Bárbara,,,41.55138,-8.42590,187
,,AG-AG1-6,Praça da Republica,,,41.55143,-8.42301,190
,,AG-AG1-7,Praça da Republica,,,41.54991,-8.42478,--
,,AG-AG1-7,Igreja de Santa Cruz de Braga,,,41.54952,-8.42430,189
,,AG-AG1-8,Igreja de S. Marcos,,,41.54919,-8.42340,184
,,AG-AG1-9,Palácio do Raio,,,41.54859,-8.42253,182
,,AG-AG1-10,Termas Romanas do Alto da Cividade,,,41.54642,-8.42958,196
,,AG-AG1-11,Museu de Arqueologia D. Diogo de Sousa,,,41.54622,-8.42717,184
,,AG-AG1-12,Estrada do Bom Jesus do Monte,,,41.55485,-8.37704,402
,,,,GA-GA2,San Martinho de Dume,41.56925,-8.43447,99
GA-GA2,San Martinho de Dume,,,,,41.56925,-8.43447,99
,,,,GA-GA3,Palmeira,41.59483,-8.43478,79
GA-GA3,Palmeira,,,,,41.59483,-8.43478,79
,,,,GA-GA4,Ponte do Bico,41.60777,-8.43016,29
GA-GA4,Ponte do Bico,,,,,41.60777,-8.43016,29
,,GA-GA4-1,Ponte do Bico,,,41.60660,-8.42944,26
,,,,GA-GA5,Lago,41.62017,-8.41438,71
,,,,GA-MR1,Loureira,41.63333,-8.42407,68
GA-GA5,Lago,,,,,41.62017,-8.41438,71
,,,,GA-GA6,Rendufe,41.63597,-8.40668,58
GA-GA6,Rendufe,,,,,41.63597,-8.40668,58
,,GA-GA6-1,Mosteiro de Santo André de Rendufe,,,41.63598,-8.40590,61
,,,,GA-GA7,Bico,41.64224,-8.40322,73
GA-GA7,Bico,,,,,41.64224,-8.40322,73
,,GA-GA7-1,São Bento Square,,,41.63983,-8.40429,88
,,,,GA-GA8,Fiscal,41.65322,-8.39595,77
GA-GA8,Fiscal,,,,,41.65322,-8.39595,77
,,,,GA-GA9,Torre,41.65926,-8.38549,93
GA-GA9,Torre,,,,,41.65926,-8.38549,93
,,,,GA-GA10,Caldelas,41.66789,-8.37577,133
GA-GA10,Caldelas,,,,,41.66789,-8.37577,133
,,,,GA-GA11,Real,41.67321,-8.36092,209
GA-GA11,Real,,,,,41.67321,-8.36092,209
,,,,.,,41.67611,-8.35366,318
,,,,GA-GA12,Covas,41.67677,-8.34742,288
GA-GA12,Covas,,,,,41.67677,-8.34742,288
,,,,.,,41.67402,-8.34730,324
,,,,.,,41.67522,-8.34545,351
,,,,GA-GA13,Parahos,41.67291,-8.34572,384
GA-GA13,Parahos,,,,,41.67291,-8.34572,384
,,,,.,,41.67918,-8.33466,459
,,,,GA-GA14,Santa Cruz,41.68005,-8.32575,415
GA-GA14,Santa Cruz,,,,,41.68005,-8.32575,415
,,GA-GA14-1,Via Geira,,,41.68011,-8.32498,419
,,,,.,,41.68741,-8.32222,443
,,,,.,,41.69609,-8.31871,444
,,,,GA-GA15,Geira Fork,41.69690,-8.31490,446
GA-GA15,Geira Fork,,,,,41.69690,-8.31490,446
,,,,.,,41.69532,-8.30853,438
,,,,.,,41.69390,-8.30978,459
,,,,.,,41.69236,-8.30226,457
,,,,GA-GA16,São Sebastião de Geria,41.69633,-8.29855,453
,,,,.,,41.70365,-8.31322,267
,,,,.,,41.70368,-8.30947,225
,,,,.,,41.70998,-8.30749,234
,,,,.,,41.71297,-8.30958,210
,,,,GA-TB1,Terras de Bouro,41.71872,-8.30812,162
GA-GA16,São Sebastião de Geria,,,,,41.69633,-8.29855,453
,,,,.,,41.69776,-8.29222,466
,,,,.,,41.69817,-8.29536,444
,,,,.,,41.70114,-8.29661,434
,,,,.,,41.70233,-8.29206,456
,,,,.,,41.70388,-8.29585,447
,,,,.,,41.70903,-8.28595,449
,,,,.,,41.71049,-8.29535,428
,,,,.,,41.71526,-8.28958,423
,,,,GA-GA17,Road to Travessos,41.72231,-8.27646,445
GA-GA17,Road to Travessos,,,,,41.72231,-8.27646,445
,,GA-GA17-1,Junction with route from Terras de Bouro,,,41.71527,-8.28957,423
,,,,.,,41.72023,-8.27317,457
,,,,.,,41.72526,-8.27064,454
,,,,.,,41.72451,-8.26363,479
,,,,.,,41.73040,-8.25679,465
,,,,GA-GA18,N307 Crossing,41.73387,-8.24224,479
GA-GA18,N307 Crossing,,,,,41.73387,-8.24224,479
,,,,GA-GA19,Covide,41.73843,-8.21469,542
GA-GA19,Covide,,,,,41.73843,-8.21469,542
,,,,.,,41.74960,-8.19703,629
,,,,.,,41.75462,-8.20121,634
,,,,GA-GA20,Campo de Gerês,41.75926,-8.19651,633
GA-GA20,Campo de Gerês,,,,,41.75926,-8.19651,633
,,GA-GA20-1,Museu Etnográfico de Campo do Gerês,,,41.75216,-8.19784,617
,,GA-GA20-2,Museu da Geira,,,41.75094,-8.19770,623
,,GA-GA20-3,Ponte de Eixões,,,41.75218,-8.19938,616
,,GA-GA20-4,Parque Nacional da Peneda-Gerês,,,41.76848,-8.18837,--
,,GA-GA20-4,Reservatório Vilharinho das Furnas,,,41.77637,-8.19133,560
,,,,.,,41.75815,-8.19415,623
,,,,.,,41.76709,-8.19036,647
,,,,GA-GA21,Ribeiro do Sarihão,41.77268,-8.17368,599
GA-GA21,Ribeiro do Sarihão,,,,,41.77268,-8.17368,599
,,GA-GA21-1,Fonte do Vale dos Porcos,,,41.79062,-8.15388,636
,,GA-GA21-2,Fonte do Balsada,,,41.79336,-8.14484,650
,,GA-GA21-3,Pools of the Homem River,,,41.79518,-8.13576,654
,,,,.,,41.79452,-8.14701,618
,,,,.,,41.79257,-8.13781,660
,,,,GA-GA22,Ponte de São Miguel,41.79924,-8.13422,671
GA-GA22,Ponte de São Miguel,,,,,41.79924,-8.13422,671
,,GA-GA22-1,Ascent to Portela do Homem,,,41.79989,-8.13345,679
,,,,GA-GA23,Portela do Homem,41.80911,-8.13146,760
GA-GA23,Portela do Homem,,,,,41.80911,-8.13146,760
,,GA-GA23-1,Miliaria Gallery,,,41.80871,-8.13145,760
,,,,GA-GA24,As Mourás,41.81885,-8.12670,650
GA-GA24,As Mourás,,,,,41.81885,-8.12670,650
,,,,GA-GA25,Os Báños,41.86281,-8.10628,380
GA-GA25,Os Báños,,,,,41.86281,-8.10628,380
,,GA-GA25-1,Aquis Originis,,,41.85657,-8.10719,395
,,GA-GA25-2,Presa Termal,,,41.86258,-8.10654,378
,,,,GA-GA26,Vilameá,41.87191,-8.09979,417
GA-GA26,Vilameá,,,,,41.87191,-8.09979,417
,,GA-GA26-1,Vilameá Cross,,,41.86592,-8.10228,430
,,GA-GA26-2,Devesa Bridge and Mill,,,41.87462,-8.09572,420
,,,,.,,41.87792,-8.09251,464
,,,,.,,41.88373,-8.09218,498
,,,,.,,41.88822,-8.08577,541
,,,,.,,41.89490,-8.08923,451
,,,,GA-GA27,Lobios,41.90175,-8.08412,410
GA-GA27,Lobios,,,,,41.90175,-8.08412,410
,,GA-GA27-1,Pazo das Frascas,,,41.89777,-8.08534,419
,,GA-GA27-2,Wayside Cross,,,41.90158,-8.08423,408
,,GA-GA27-3,Centro de Interpretación del Parque Natural Baixa Limia-Serra do Xurés,,,41.90158,-8.08423,408
,,GA-GA27-4,Rest Area and Drinking Fountain,,,41.90537,-8.08784,398
,,,,GA-GA28,Embalse de Lindoso,41.90954,-8.09267,319
