ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
I-I1,Ferrol,,,,,43.47848,-8.24376,7
,,I-I1-1,Via Compostellam,,,43.47863,-8.24405,7
,,I-I1-2,Museo da Constructión Naval,,,43.48263,-8.23110,8
,,,,I-I2,Polígono Gándara,43.49382,-8.18834,14
I-I2,Polígono Gándara,,,,,43.49382,-8.18834,14
,,,,I-I3,Xubia,43.51673,-8.15104,5
I-I3,Xubia,,,,,43.51673,-8.15104,5
,,,,I-I4,Neda,43.50401,-8.15414,7
I-I4,Neda,,,,,43.50401,-8.15414,7
,,,,I-I5,Fene,43.47410,-8.16234,27
I-I5,Fene,,,,,43.47410,-8.16234,27
,,,,I-I6,O Pereiro,43.44282,-8.16640,178
I-I6,O Pereiro,,,,,43.44282,-8.16640,178
,,,,I-I7,Cabanas,43.42006,-8.17182,5
I-I7,Cabanas,,,,,43.42006,-8.17182,5
,,,,I-I8,Pontedeume,43.40631,-8.17048,20
I-I8,Pontedeume,,,,,43.40631,-8.17048,20
,,I-I8-1,Fragas do Eume,,,43.42863,-8.11934,242
,,,,.,,43.39225,-8.16940,150
,,,,.,,43.35925,-8.17944,64
,,,,.,,43.35676,-8.19097,8
,,,,I-I9,Miño,43.34701,-8.20626,40
I-I9,Miño,,,,,43.34701,-8.20626,40
,,,,I-I10,Ponte do Porco,43.33557,-8.20086,7
I-I10,Ponte do Porco,,,,,43.33557,-8.20086,7
,,,,.,,43.32931,-8.18859,8
,,,,.,,43.32572,-8.19185,67
,,,,I-I11,Porto Abaixo,43.32388,-8.19811,46
I-I11,Porto Abaixo,,,,,43.32388,-8.19811,46
,,,,I-I12,Betanzos,43.27967,-8.21027,21
I-I12,Betanzos,,,,,43.27967,-8.21027,21
,,,,I-I13,Xanrozo,43.25502,-8.22868,167
I-I13,Xanrozo,,,,,43.25502,-8.22868,167
,,I-I13-1,No shoulder on road,,,43.24324,-8.22868,115
,,,,I-I14,Cos,43.23378,-8.24325,73
I-I14,Cos,,,,,43.23378,-8.24325,73
,,I-I14-1,Old route,,,43.23270,-8.24610,82
,,,,I-I15,Meangos,43.22451,-8.25193,115
,,,,.,,43.22690,-8.25643,137
,,,,.,,43.21921,-8.26237,147
,,,,.,,43.21083,-8.26284,116
,,,,I-I16,Presedo,43.20418,-8.26297,172
I-I15,Meangos,,,,,43.22451,-8.25193,115
,,,,.,,43.19762,-8.26728,156
,,,,.,,43.19626,-8.27135,184
,,,,I-I16,Presedo,43.20418,-8.26297,172
I-I16,Presedo,,,,,43.20418,-8.26297,172
