ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
N-N1,Irun,,,,,43.34931,-1.78460,0
,,N-N1-1,Starting Point,,,43.34934,-1.78458,1
,,N-N1-2,Irun Tourist Office,,,43.34010,-1.79408,20
,,N-N1-3,The Passionists,,,43.34067,-1.79957,14
,,,,.,,43.33926,-1.78820,17
,,,,.,,43.34140,-1.79784,13
,,,,.,,43.34720,-1.80136,3
,,,,.,,43.35804,-1.80813,39
,,,,N-N2,Monte Jaizkibel,43.36683,-1.82142,194
N-N2,Monte Jaizkibel,,,,,43.36683,-1.82142,194
,,N-N2-1,Mountain Route,,,43.36558,-1.82460,219
,,,,.,,43.35423,-1.84084,395
,,,,.,,43.34838,-1.84998,493
,,,,.,,43.34535,-1.85588,527
,,,,.,,43.33991,-1.86791,421
,,,,N-N3,Lezo,43.32124,-1.89717,11
,,,,N-N4,Pasajes,43.32476,-1.91750,12
N-N3,Lezo,,,,,43.32124,-1.89717,11
,,,,N-N4,Pasajes,43.32476,-1.91750,12
N-N4,Pasajes,,,,,43.32476,-1.91750,12
,,N-N4-1,Ferry,,,43.32626,-1.92001,7
,,,,N-N5,San Sebastián,43.32033,-1.98504,4
N-N5,San Sebastián,,,,,43.32033,-1.98504,4
,,N-N5-1,Aquarium,,,43.32280,-1.99186,18
,,N-N5-2,Museum of St Telmo,,,43.32523,-1.98480,11
,,,,N-N6,Igueldo,43.31512,-2.02775,184
N-N6,Igueldo,,,,,43.31512,-2.02775,184
,,,,N-N7,Orio,43.27611,-2.12581,9
N-N7,Orio,,,,,43.27611,-2.12581,9
,,,,N-N8,Zarautz,43.28746,-2.17002,4
N-N8,Zarautz,,,,,43.28746,-2.17002,4
,,,,N-N9,Getaria,43.30302,-2.20468,22
N-N9,Getaria,,,,,43.30302,-2.20468,22
,,N-N9-1,Salbatore Deunaren Eliza,,,43.30456,-2.20356,5
,,,,N-N10,Askizu,43.30318,-2.23018,114
N-N10,Askizu,,,,,43.30318,-2.23018,114
,,,,N-N11,Zumaia,43.29697,-2.25743,7
N-N11,Zumaia,,,,,43.29697,-2.25743,7
,,N-N11-1,Zuloaga Museum,,,43.29828,-2.24780,6
,,N-N11-2,Hermitage of St Telmo,,,43.29911,-2.26126,16
,,,,N-N12,Elorriaga,43.28617,-2.29198,203
,,,,N-N12,Elorriaga,43.28617,-2.29198,203
N-N12,Elorriaga,,,,,43.28617,-2.29198,203
,,,,N-N13,Itziar,43.27634,-2.33087,265
,,,,.,,43.27670,-2.29583,174
,,,,.,,43.27903,-2.31190,130
,,,,.,,43.29202,-2.34397,185
,,,,N-N14,Deba,43.29432,-2.35526,8
N-N13,Itziar,,,,,43.27634,-2.33087,265
,,N-N13-1,Sanctuary of the Virgin of Itziar,,,43.27645,-2.33158,271
,,,,N-N14,Deba,43.29432,-2.35526,8
N-N14,Deba,,,,,43.29432,-2.35526,8
,,,,.,,43.29252,-2.35619,8
,,,,.,,43.29292,-2.35747,19
,,,,.,,43.29443,-2.35698,7
,,,,.,,43.30008,-2.36329,180
,,,,.,,43.30040,-2.37507,203
,,,,N-N15,Barrio de Ibri,43.29383,-2.38641,261
N-N15,Barrio de Ibri,,,,,43.29383,-2.38641,261
,,,,.,,43.29141,-2.39041,323
,,,,.,,43.28704,-2.39132,350
,,,,.,,43.29031,-2.39983,239
,,,,N-N16,Olatz,43.28813,-2.40750,195
N-N16,Olatz,,,,,43.28813,-2.40750,195
,,N-N16-1,Last bar before Markina,,,43.28809,-2.40766,196
,,,,.,,43.28143,-2.42859,423
,,,,.,,43.26881,-2.44054,181
,,,,.,,43.27268,-2.47675,373
,,,,N-N17,Markina,43.26691,-2.49782,85
N-N17,Markina,,,,,43.26691,-2.49782,85
,,N-N17-1,Church of the Assumption of Mary,,,43.26737,-2.49302,88
,,,,N-N18,Iruzubieta,43.25261,-2.52721,131
N-N18,Iruzubieta,,,,,43.25261,-2.52721,131
,,,,N-N19,Bolibar,43.24967,-2.54995,185
N-N19,Bolibar,,,,,43.24967,-2.54995,185
,,N-N19-1,Museum of Simón Bolívar,,,43.25010,-2.54822,185
,,,,N-N20,Ziortza-Bolibar,43.24774,-2.56256,305
N-N20,Ziortza-Bolibar,,,,,43.24774,-2.56256,305
,,N-N20-1,Zenarruza Monastery,,,43.24826,-2.56211,298
,,,,.,,43.24735,-2.56988,358
,,,,.,,43.24961,-2.57246,387
,,,,.,,43.25228,-2.57247,370
,,,,N-N21,Gerrikaitz,43.26219,-2.59220,214
N-N21,Gerrikaitz,,,,,43.26219,-2.59220,214
,,,,N-N22,Munitibar,43.26596,-2.59252,186
N-N22,Munitibar,,,,,43.26596,-2.59252,186
,,N-N22-1,Hermitage of St James the Apostle,,,43.26832,-2.60515,271
,,,,.,,43.26710,-2.60854,264
,,,,.,,43.28050,-2.63168,107
,,,,N-N23,Mendata,43.28666,-2.63491,153
N-N23,Mendata,,,,,43.28666,-2.63491,153
,,,,.,,43.29129,-2.63597,146
,,,,.,,43.29654,-2.63732,87
,,,,N-N24,Marmiz,43.29819,-2.64850,126
N-N24,Marmiz,,,,,43.29819,-2.64850,126
,,,,N-N25,Mendieta,43.30949,-2.66158,52
N-N25,Mendieta,,,,,43.30949,-2.66158,52
,,,,N-N26,Gernika-Lumo,43.31612,-2.67675,7
N-N26,Gernika-Lumo,,,,,43.31612,-2.67675,7
,,N-N26-1,Gernika Tree,,,43.31310,-2.67992,25
,,N-N26-2,Park of the Peoples of Europe,,,43.31408,-2.68070,29
,,N-N26-3,Mural of Picasso's Guernica,,,43.31582,-2.68007,20
,,N-N26-4,Gernika Peace Museum,,,43.31532,-2.67859,13
,,,,.,,43.30596,-2.68271,20
,,,,.,,43.30384,-2.69158,23
,,,,.,,43.30613,-2.71132,189
,,,,.,,43.30737,-2.72285,247
,,,,.,,43.29876,-2.74423,139
,,,,N-N27,Muxika y Morga,43.28496,-2.74175,269
N-N27,Muxika y Morga,,,,,43.28496,-2.74175,269
,,,,N-N28,Goikolexea,43.26726,-2.78285,91
N-N28,Goikolexea,,,,,43.26726,-2.78285,91
,,,,N-N29,Larrabetzu,43.26121,-2.79629,76
N-N29,Larrabetzu,,,,,43.26121,-2.79629,76
,,,,N-N30,Lezama,43.27385,-2.83316,62
N-N30,Lezama,,,,,43.27385,-2.83316,62
,,,,N-N31,Zamudio,43.28490,-2.86614,49
N-N31,Zamudio,,,,,43.28490,-2.86614,49
,,N-N31-1,Vending Machine,,,43.27096,-2.87336,238
,,,,.,,43.27557,-2.86704,102
,,,,.,,43.27047,-2.87330,246
,,,,.,,43.26983,-2.88741,323
,,,,.,,43.26879,-2.89918,282
,,,,.,,43.26148,-2.91548,72
,,,,N-N32,Bilbao,43.25725,-2.92299,16
N-N32,Bilbao,,,,,43.25725,-2.92299,16
,,N-N32-1,Cathedral of Santiago,,,43.25755,-2.92385,15
,,N-N32-2,Basilica of Begoña,,,43.25893,-2.91374,88
,,N-N32-3,Guggenheim Museum,,,43.26872,-2.93400,6
