ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
P-P1,Lisboa,,,,,38.70980,-9.13330,20
,,P-P1-1,Lisbon Cathedral,,,38.70984,-9.13291,24
,,P-P1-2,Museu Nacional do Azulejo,,,38.72508,-9.11347,6
,,,,P-P2,Parque das Nações,38.76290,-9.09820,11
P-P2,Parque das Nações,,,,,38.76290,-9.09820,11
,,P-P2-1,Oceanário de Lisboa,,,38.76342,-9.09372,1
,,,,P-P3,Sacavém,38.79685,-9.10470,4
P-P3,Sacavém,,,,,38.79685,-9.10470,4
,,,,P-P4,Granja,38.85810,-9.10750,8
,,,,P-P6,São João de Talha,38.82570,-9.09750,69
P-P4,Granja,,,,,38.85810,-9.10750,8
,,,,P-P5,Alpriate,38.86340,-9.09200,32
P-P5,Alpriate,,,,,38.86340,-9.09200,32
,,,,P-P8,Póvoa de Santa Iria,38.86630,-9.05970,10
P-P6,São João de Talha,,,,,38.82570,-9.09750,69
,,,,P-P7,Santa Iria de Azoia,38.83780,-9.08270,14
P-P7,Santa Iria de Azoia,,,,,38.83780,-9.08270,14
,,,,P-P8,Póvoa de Santa Iria,38.86630,-9.05970,10
P-P8,Póvoa de Santa Iria,,,,,38.86630,-9.05970,10
,,,,P-P9,Alverca do Ribatejo,38.89950,-9.03710,12
P-P9,Alverca do Ribatejo,,,,,38.89950,-9.03710,12
,,,,P-P10,Sobralinho,38.91340,-9.02360,15
P-P10,Sobralinho,,,,,38.91340,-9.02360,15
,,,,P-P11,Alhandra,38.92840,-9.00980,10
P-P11,Alhandra,,,,,38.92840,-9.00980,10
,,,,P-P12,Vila Franca de Xira,38.95690,-8.98740,7
P-P12,Vila Franca de Xira,,,,,38.95690,-8.98740,7
,,,,P-P13,Estación de Carregado,39.00580,-8.95340,5
P-P13,Estación de Carregado,,,,,39.00580,-8.95340,5
,,,,P-P14,Vila Nova de Rainha,39.03630,-8.92810,5
P-P14,Vila Nova de Rainha,,,,,39.03630,-8.92810,5
,,,,P-P15,Azambuja,39.06950,-8.86670,14
P-P15,Azambuja,,,,,39.06950,-8.86670,14
,,,,P-P16,Reguengo,39.07060,-8.78250,4
P-P16,Reguengo,,,,,39.07060,-8.78250,4
,,,,P-P17,Valada,39.08050,-8.76060,8
P-P17,Valada,,,,,39.08050,-8.76060,8
,,,,P-P18,Porto de Muge,39.10740,-8.73840,7
P-P18,Porto de Muge,,,,,39.10740,-8.73840,7
,,,,P-P19,Omnias,39.21820,-8.68280,17
P-P19,Omnias,,,,,39.21820,-8.68280,17
,,,,P-P20,Santarém,39.23380,-8.68610,110
P-P20,Santarém,,,,,39.23380,-8.68610,110
,,P-P20-1,Igreja do Seminário ou de Nossa Senhora da Conceição do Colégio dos Jesuítas,,,39.23696,-8.68518,111
,,P-P20-2,Jardim das Portos do Sol,,,39.23382,-8.67573,98
,,P-P20-3,Fátima Variant,,,39.23458,-8.68591,110
,,,,P-P21,Ribeira de Santarém,39.23770,-8.67490,21
,,,,P-F1,Azóia de Baixo,39.29792,-8.70602,35
P-P21,Ribeira de Santarém,,,,,39.23770,-8.67490,21
,,,,P-P22,Vale de Figuiera,39.30790,-8.62740,56
P-P22,Vale de Figuiera,,,,,39.30790,-8.62740,56
,,,,P-P23,Azinhaga,39.34770,-8.52930,20
P-P23,Azinhaga,,,,,39.34770,-8.52930,20
,,,,P-P24,Golegã,39.40650,-8.48600,24
P-P24,Golegã,,,,,39.40650,-8.48600,24
,,,,P-P25,São Caetano,39.44010,-8.45250,26
P-P25,São Caetano,,,,,39.44010,-8.45250,26
,,,,P-P26,Vila Nova da Barquinha,39.46290,-8.44250,35
P-P26,Vila Nova da Barquinha,,,,,39.46290,-8.44250,35
,,,,P-P27,Atalaia,39.48080,-8.45190,64
P-P27,Atalaia,,,,,39.48080,-8.45190,64
,,,,P-P28,Grou,39.51040,-8.40570,138
P-P28,Grou,,,,,39.51040,-8.40570,138
,,,,P-P29,Asseiceira,39.52200,-8.40370,87
P-P29,Asseiceira,,,,,39.52200,-8.40370,87
,,,,P-P30,Guerrira,39.54280,-8.39160,61
P-P30,Guerrira,,,,,39.54280,-8.39160,61
,,,,P-P31,Casal Marmelo,39.57110,-8.39390,41
P-P31,Casal Marmelo,,,,,39.57110,-8.39390,41
,,,,P-P32,Tomar,39.60460,-8.40990,54
P-P32,Tomar,,,,,39.60460,-8.40990,54
,,P-P32-1,Castelo de Tomar,,,39.60343,-8.41758,106
,,P-P32-2,Convento de Cristo,,,39.60402,-8.41910,109
,,,,P-P33,Ponte de Peniche,39.62040,-8.40000,71
P-P33,Ponte de Peniche,,,,,39.62040,-8.40000,71
,,,,P-P34,Casais,39.65230,-8.38440,152
P-P34,Casais,,,,,39.65230,-8.38440,152
,,,,P-P35,Soianda,39.66050,-8.38290,191
P-P35,Soianda,,,,,39.66050,-8.38290,191
,,,,.,,39.66867,-8.37398,175
,,,,P-P36,Calvinos,39.67440,-8.37640,212
P-P36,Calvinos,,,,,39.67440,-8.37640,212
,,,,P-P37,Chão das Eiras,39.68680,-8.37290,158
P-P37,Chão das Eiras,,,,,39.68680,-8.37290,158
,,,,.,,39.68787,-8.37130,153
,,,,.,,39.69308,-8.35948,169
