ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
PR-P1,Oviedo,,,,,43.36238,-5.84392,234
,,PR-P1-1,Cathedral of San Salvador,,,43.36252,-5.84367,235
,,,,PR-P2,San Lázaro de Paniceres,43.37062,-5.88441,238
PR-P2,San Lázaro de Paniceres,,,,,43.37062,-5.88441,238
,,,,PR-P3,Lampajúa,43.37597,-5.91069,216
PR-P3,Lampajúa,,,,,43.37597,-5.91069,216
,,,,.,,43.37897,-5.91871,149
,,,,PR-P4,Loriana,43.37888,-5.92109,170
PR-P4,Loriana,,,,,43.37888,-5.92109,170
,,,,PR-P5,La Bolguina,43.37953,-5.92631,111
PR-P5,La Bolguina,,,,,43.37953,-5.92631,111
,,,,PR-P6,Escamplero,43.39143,-5.94847,249
PR-P6,Escamplero,,,,,43.39143,-5.94847,249
,,PR-P6-1,Puente medieval de Gallegos,,,43.38313,-5.93114,103
,,,,PR-P7,Premoño,43.39463,-5.98929,132
,,,,PR-P7,Premoño,43.39463,-5.98929,132
PR-P7,Premoño,,,,,43.39463,-5.98929,132
,,PR-P7-1,Termas romanas de Valduno,,,43.39123,-6.00526,57
,,,,PR-P8,Paladín,43.39900,-6.01406,57
PR-P8,Paladín,,,,,43.39900,-6.01406,57
,,,,PR-P9,Puerma,43.39730,-6.02199,59
PR-P9,Puerma,,,,,43.39730,-6.02199,59
,,,,PR-P10,Peñaflor,43.40275,-6.04443,52
PR-P10,Peñaflor,,,,,43.40275,-6.04443,52
,,PR-P10-1,Medieval Pass,,,43.40357,-6.04091,54
,,,,PR-P11,Grado,43.39001,-6.06799,59
PR-P11,Grado,,,,,43.39001,-6.06799,59
,,,,PR-P12,San Juan de Vilapañada (Cabruñana),43.38789,-6.10525,232
PR-P12,San Juan de Vilapañada (Cabruñana),,,,,43.38789,-6.10525,232
,,,,PR-P13,El Fresno,43.38438,-6.12102,364
PR-P13,El Fresno,,,,,43.38438,-6.12102,364
,,,,PR-P14,San Marcelo,43.38990,-6.13235,203
PR-P14,San Marcelo,,,,,43.38990,-6.13235,203
,,,,PR-P15,Santa Eulalia de Doriga,43.39547,-6.14447,115
PR-P15,Santa Eulalia de Doriga,,,,,43.39547,-6.14447,115
,,,,PR-P16,Casas del Puente,43.40419,-6.15040,57
PR-P16,Casas del Puente,,,,,43.40419,-6.15040,57
,,,,PR-P17,Cornellana,43.41214,-6.15787,56
PR-P17,Cornellana,,,,,43.41214,-6.15787,56
,,,,PR-P18,Sobrerriba,43.40512,-6.16459,122
PR-P18,Sobrerriba,,,,,43.40512,-6.16459,122
,,,,PR-P19,Llamas,43.40417,-6.18764,102
PR-P19,Llamas,,,,,43.40417,-6.18764,102
,,,,PR-P20,Quintana,43.40692,-6.21017,116
PR-P20,Quintana,,,,,43.40692,-6.21017,116
,,,,PR-P21,Casazorrina,43.40352,-6.23325,159
PR-P21,Casazorrina,,,,,43.40352,-6.23325,159
,,,,PR-P22,Salas,43.40882,-6.26036,241
PR-P22,Salas,,,,,43.40882,-6.26036,241
,,PR-P22-1,Collegiate Church of St Mary,,,43.40875,-6.26065,242
,,,,PR-P23,Porciles,43.40988,-6.30891,641
PR-P23,Porciles,,,,,43.40988,-6.30891,641
,,,,PR-P24,Bodenaya,43.40037,-6.32382,638
PR-P24,Bodenaya,,,,,43.40037,-6.32382,638
,,,,PR-P25,La Espina,43.39461,-6.33653,657
PR-P25,La Espina,,,,,43.39461,-6.33653,657
,,,,PR-P26,La Pereda,43.38990,-6.34347,683
PR-P26,La Pereda,,,,,43.38990,-6.34347,683
,,,,.,,43.38530,-6.35327,766
,,,,PR-P27,Bedures,43.38012,-6.35852,727
PR-P27,Bedures,,,,,43.38012,-6.35852,727
,,PR-P27-1,Molín de Bedures,,,43.37970,-6.36093,734
,,,,PR-P28,La Millariega,43.37737,-6.36168,712
PR-P28,La Millariega,,,,,43.37737,-6.36168,712
,,PR-P28-1,Punto de Descanso de Peregrinos,,,43.37534,-6.36452,713
,,,,.,,43.37598,-6.36141,690
,,,,PR-P29,El Pedrigal,43.37203,-6.36613,714
PR-P29,El Pedrigal,,,,,43.37203,-6.36613,714
,,,,.,,43.35790,-6.38828,724
,,,,.,,43.35155,-6.39947,729
,,,,.,,43.34467,-6.40263,719
,,,,.,,43.33893,-6.40236,716
,,,,PR-P30,Tineo,43.33529,-6.41520,674
PR-P30,Tineo,,,,,43.33529,-6.41520,674
,,PR-P30-1,Church of St Peter and Museum of Religious Art,,,43.33529,-6.41513,674
,,,,PR-P31,Obona,43.33582,-6.48464,637
PR-P31,Obona,,,,,43.33582,-6.48464,637
,,PR-P31-1,Monastery of Obona,,,43.34042,-6.47965,624
,,,,.,,43.34238,-6.49149,656
,,,,PR-P32,Villaluz,43.34126,-6.49756,632
PR-P32,Villaluz,,,,,43.34126,-6.49756,632
,,,,PR-P33,Vega de Rey,43.33658,-6.50366,600
PR-P33,Vega de Rey,,,,,43.33658,-6.50366,600
,,,,PR-P34,Berrugoso,43.33720,-6.50964,599
PR-P34,Berrugoso,,,,,43.33720,-6.50964,599
,,,,PR-P35,Campiello,43.33646,-6.52518,608
PR-P35,Campiello,,,,,43.33646,-6.52518,608
,,,,PR-P36,El Espin,43.33716,-6.53563,578
PR-P36,El Espin,,,,,43.33716,-6.53563,578
,,,,PR-P37,Borres,43.33601,-6.55554,611
PR-P37,Borres,,,,,43.33601,-6.55554,611
,,PR-P31-1,Hospital Route,,,43.32924,-6.56596,--
,,,,PR-P38,Samblismo,43.32655,-6.56846,697
PR-P38,Samblismo,,,,,43.32655,-6.56846,697
,,,,PR-P39,La Mortera,43.32271,-6.58157,684
,,,,PR-P49,Hospital de Paradiella,43.30974,-6.61618,998
PR-P39,La Mortera,,,,,43.32271,-6.58157,684
,,,,PR-P40,Colinas de Arriba,43.31331,-6.59231,754
PR-P40,Colinas de Arriba,,,,,43.31331,-6.59231,754
,,,,PR-P41,Porciles,43.30155,-6.59874,749
PR-P41,Porciles,,,,,43.30155,-6.59874,749
,,,,PR-P42,Lavadoira,43.29279,-6.60236,799
PR-P42,Lavadoira,,,,,43.29279,-6.60236,799
,,,,PR-P43,Ferroy,43.27960,-6.60288,633
,,,,PR-P44,Pola de Allande,43.27199,-6.61090,534
PR-P43,Ferroy,,,,,43.27960,-6.60288,633
,,,,PR-P44,Pola de Allande,43.27199,-6.61090,534
PR-P44,Pola de Allande,,,,,43.27199,-6.61090,534
,,,,PR-P45,Peñaseita,43.28299,-6.63614,653
PR-P45,Peñaseita,,,,,43.28299,-6.63614,653
,,,,PR-P46,Alto de El Palo,43.27324,-6.67810,1147
PR-P46,Alto de El Palo,,,,,43.27324,-6.67810,1147
,,,,PR-P47,Montefurado,43.26440,-6.69777,902
PR-P47,Montefurado,,,,,43.26440,-6.69777,902
,,,,PR-P48,Lago,43.25347,-6.73258,897
PR-P48,Lago,,,,,43.25347,-6.73258,897
,,,,PR-P53,Berducedo,43.23379,-6.76720,898
PR-P49,Hospital de Paradiella,,,,,43.30974,-6.61618,998
,,,,PR-P50,Hospital de Fonfaraón,43.30034,-6.63744,1192
PR-P50,Hospital de Fonfaraón,,,,,43.30034,-6.63744,1192
,,,,PR-P51,Hospital de Valparaíso,43.30434,-6.65379,1161
PR-P51,Hospital de Valparaíso,,,,,43.30434,-6.65379,1161
,,,,PR-P52,Alto de La Marta,43.29564,-6.67109,1105
PR-P52,Alto de La Marta,,,,,43.29564,-6.67109,1105
,,,,PR-P46,Alto de El Palo,43.27324,-6.67810,1147
PR-P53,Berducedo,,,,,43.23379,-6.76720,898
,,,,PR-P54,La Mesa,43.21809,-6.80365,868
PR-P54,La Mesa,,,,,43.21809,-6.80365,868
,,,,.,,43.22578,-6.81130,1042
,,,,PR-P55,Buspol,43.22469,-6.82178,974
PR-P55,Buspol,,,,,43.22469,-6.82178,974
,,,,PR-P56,Vistalegre,43.23371,-6.85314,291
PR-P56,Vistalegre,,,,,43.23371,-6.85314,291
,,,,PR-P57,Grandas de Salime,43.21762,-6.87587,562
PR-P57,Grandas de Salime,,,,,43.21762,-6.87587,562
,,PR-P57-1,Ethnographic Museum,,,43.21793,-6.87455,557
,,,,PR-P58,La Farrapa,43.21148,-6.88975,672
PR-P58,La Farrapa,,,,,43.21148,-6.88975,672
,,,,PR-P59,Carreijeira,43.21206,-6.90222,641
PR-P59,Carreijeira,,,,,43.21206,-6.90222,641
,,,,PR-P60,Maineira,43.20715,-6.91509,648
PR-P60,Maineira,,,,,43.20715,-6.91509,648
