ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
SN-SN2,Puente Quintos,,,,,41.84571,-5.78382,685
,,SN-SN2-1,View over the river Esla,,,41.83806,-5.79126,720
,,,,.,,41.83830,-5.79201,736
,,,,.,,41.84176,-5.79817,742
,,,,.,,41.83612,-5.80733,707
,,,,.,,41.82834,-5.81613,732
,,,,.,,41.83961,-5.83621,745
,,,,.,,41.83216,-5.85949,698
,,,,SN-SN3,Faramontanos de Tábara,41.83456,-5.88872,711
SN-SN3,Faramontanos de Tábara,,,,,41.83456,-5.88872,711
,,SN-SN3-1,Traditional Wine Storage,,,41.83599,-5.88591,722
,,,,SN-SN4,Tábara,41.82502,-5.96012,752
SN-SN4,Tábara,,,,,41.82502,-5.96012,752
,,SN-SN4-1,Los Beatos Information Centre,,,41.82667,-5.95824,744
,,SN-SN4-2,Monumento a León Felipe,,,41.82601,-5.95941,749
,,,,.,,41.87093,-5.96186,807
,,,,.,,41.89125,-5.96340,758
,,,,.,,41.90045,-5.96838,795
,,,,SN-SN5,Bercanos de Valverde,41.93144,-5.95160,738
,,,,.,,41.87093,-5.96186,807
,,,,.,,41.89125,-5.96340,758
,,,,.,,41.90045,-5.96838,795
,,,,SN-SN6,Villanueva de las Peras,41.93503,-5.97953,745
SN-SN5,Bercanos de Valverde,,,,,41.93144,-5.95160,738
,,,,.,,41.94207,-5.96639,787
,,,,.,,41.97328,-5.97386,727
,,,,SN-SN7,Santa Croya de Tera,41.98475,-5.97600,726
SN-SN6,Villanueva de las Peras,,,,,41.93503,-5.97953,745
,,,,.,,41.93881,-5.96170,741
,,,,.,,41.94207,-5.96639,787
,,,,.,,41.97328,-5.97386,727
,,,,SN-SN7,Santa Croya de Tera,41.98475,-5.97600,726
SN-SN7,Santa Croya de Tera,,,,,41.98475,-5.97600,726
,,,,SN-SN8,Santa Marta de Tera,41.99471,-5.97146,735
SN-SN8,Santa Marta de Tera,,,,,41.99471,-5.97146,735
,,SN-SN8-1,Carving of Saint James the pilgrim,,,41.99457,-5.97128,734
,,,,SN-SN9,Playa fluvial La Barca,41.98185,-6.02940,731
SN-SN9,Playa fluvial La Barca,,,,,41.98185,-6.02940,731
,,,,SN-SN10,Camarzana de Tera,41.99564,-6.02695,735
,,,,SN-SN11,Calzadilla de Tera,41.97948,-6.08250,755
SN-SN10,Camarzana de Tera,,,,,41.99564,-6.02695,735
,,,,SN-SN11,Calzadilla de Tera,41.97948,-6.08250,755
SN-SN11,Calzadilla de Tera,,,,,41.97948,-6.08250,755
