ID,Name,Latitude,Longitude,Elevation
BM-1,Bondi Beach,-33.89108,151.27612,11
BM-1-1,Bondi Beach,-33.89147,151.27668,7
BM-10,Gap Bluff,-33.84204,151.28493,39
BM-11,Gap Bluff Road,-33.84132,151.282464,30
BM-12,Camp Cove,-33.83906,151.27965,6
BM-12-1,Camp Cove Beach,-33.83907,151.27951,5
BM-13,South Head,-33.83351,151.28093,23
BM-13-1,Lady Bay Beach,-33.83553,151.27943,4
BM-13-2,Lightkeeper's Cottages,-33.83352,151.28009,20
BM-13-3,Hornby Lighthouse,-33.8335,151.28092,22
BM-14,Camp Cove (Return),-33.83912,151.27959,6
BM-15,Green Point Reserve,-33.84082,151.27678,6
BM-15-1,First Landing Obelisk,-33.84068,151.27669,5
BM-16,Watson's Bay,-33.8433,151.28188,6
BM-17,Gibson's Beach,-33.84657,151.28104,5
BM-17-1,Gibson's Beach,-33.84655,151.28099,4
BM-18,Parsley Bay,-33.85068,151.27742,11
BM-18-1,Vaucluse House,-33.85581,151.27366,18
BM-19,Steele Point,-33.85102,151.26581,7
BM-2,North Bondi,-33.89051,151.28216,7
BM-20,Milk Beach,-33.85654,151.26729,4
BM-20-1,Milk Beach,-33.85653,151.2673,4
BM-20-2,Little Bay,-33.85734,151.2681,4
BM-20-3,Hermit Beach,-33.85875,151.26913,4
BM-21,Queens Beach,-33.86135,151.26897,6
BM-21-1,Queens Beach,-33.86135,151.26887,4
BM-22,Hermitage Reserve,-33.86346,151.26947,13
BM-23,Rose Bay,-33.86851,151.26921,5
BM-23-1,Rose Bay Beach,-33.86851,151.26899,4
BM-24,Lyne Park,-33.87078,151.26245,5
BM-25,Rose Bay Park,-33.86993,151.25341,6
BM-25-1,Bellamy Beach,-33.86949,151.25346,4
BM-26,Point Piper,-33.86455,151.25101,26
BM-27,Seven Schillings Beach,-33.87152,151.24824,4
BM-27-1,Seven Schillings Beach,-33.87182,151.24781,5
BM-28,Double Bay,-33.87392,151.24312,5
BM-28-1,Double Bay Beach,-33.87391,151.24364,4
BM-29,Darling Point,-33.86668,151.2396,6
BM-3,Bamford Reserve,-33.8834,151.28337,68
BM-30,Rushcutters Bay,-33.87429,151.23062,5
BM-31,Kings Cross,-33.8692,151.22557,33
BM-32,Wooloomooloo,-33.8692,151.22041,6
BM-32-1,Finger Wharf,-33.86905,151.22003,6
BM-32-2,Art Gallery of New South Wales,-33.8688,151.21741,26
BM-33,Mrs Macquarie's Point,-33.85966,151.2226,10
BM-34,Farm Cove,-33.86334,151.21849,4
BM-34-1,Royal Botanic Gardens,-33.86411,151.21751,5
BM-35,Bennelong Point,-33.85614,151.21523,6
BM-35-1,Sydney Opera House,-33.85678,151.21529,18
BM-36,Circular Quay,-33.86103,151.20966,6
BM-36-1,Museum of Contemporary Art,-33.85993,151.20902,7
BM-37,The Rocks,-33.85449,151.20998,4
BM-38,Harbour Bridge (South),-33.85868,151.20682,27
BM-39,Harbour Bridge (North),-33.84626,151.21274,36
BM-4,Rodney Reserve,-33.87313,151.28408,83
BM-4-1,Radio Astronomy Site,-33.87345,151.28425,83
BM-40,Milsons Point,-33.84989,151.21159,8
BM-41,Kirribilli,-33.85094,151.2198,4
BM-42,Milson Park,-33.84453,151.21529,5
BM-43,Kesterton Park,-33.845,151.2186,5
BM-44,Anderson Park,-33.84034,151.21604,6
BM-45,Neutral Bay,-33.84099,151.21896,16
BM-45-1,Hayes Street Beach,-33.84158,151.21937,5
BM-46,Shellcove Beach,-33.8389,151.22496,24
BM-46-1,Nutcote,-33.84183,151.22168,24
BM-47,Cremorne Point,-33.84865,151.23295,5
BM-47-1,Robertson's Point Lighthouse,-33.84872,151.23301,4
BM-48,Mossman Bay,-33.83838,151.23281,5
BM-49,South Mossman,-33.84333,151.23379,34
BM-5,Cliff-Top Walk,-33.86666,151.28339,35
BM-50,Sirius Cove,-33.83934,151.23704,6
BM-50-1,Sirius Cove Beach,-33.83953,151.23668,5
BM-51,Taronga Zoo,-33.84576,151.2399,8
BM-51-1,Taronga Zoo,-33.84328,151.24138,63
BM-52,Bradleys Head,-33.85303,151.24633,16
BM-52-1,Rifle Wall,-33.85212,151.24577,35
BM-53,Taylors Bay,-33.84237,151.24594,26
BM-54,Chowder Head,-33.84355,151.25241,29
BM-55,Chowder Bay,-33.83834,151.25611,21
BM-55-1,Georges Head Lookout,-33.83655,151.25887,74
BM-56,HMAS Penguin,-33.83126,151.25835,72
BM-57,Middle Head – Gubbuh Gubbuh,-33.82737,151.26825,35
BM-58,HMAS Penguin (Return),-33.83124,151.25828,72
BM-59,Balmoral,-33.82791,151.25286,6
BM-59-1,Balmoral Beach,-33.82576,151.25158,5
BM-59-2,Edwards Beach,-33.82304,151.25277,8
BM-6,Diamond Bay,-33.86172,151.28178,46
BM-60,Wyargine Point,-33.8164,151.25141,37
BM-61,Parriwi,-33.81305,151.24591,50
BM-62,The Spit,-33.80401,151.24614,4
BM-62-1,Spit Bridge,-33.80255,151.24619,1
BM-63,Shell Cove Bay,-33.8,151.25105,17
BM-64,Sandy Bay,-33.80455,151.25296,3
BM-65,Castle Rock,-33.80455,151.25296,3
BM-66,Grotto Point,-33.81345,151.26176,52
BM-66-1,Rock Art,-33.81342,151.26294,64
BM-67,Dobroyd Head,-33.81053,151.27341,42
BM-68,Wellings Reserve,-33.80055,151.26568,18
BM-69,Fairlight,-33.79721,151.26837,19
BM-7,Lighthouse Reserve,-33.85383,151.28609,82
BM-7-1,Macquarie Lighthouse,-33.8539,151.28519,85
BM-7-2,South Head Signal Station,-33.85036,151.2868,72
BM-70,Manly,-33.79948,151.28433,5
BM-71,Little Manly Point,-33.80918,151.28706,6
BM-72,Spring Cove,-33.80839,151.29159,18
BM-73,Scenic Drive,-33.80703,151.29635,71
BM-74,The Barracks,-33.8113,151.2976,90
BM-75,Third Quarantine Cemetary,-33.81725,151.2947,90
BM-76,North Head,-33.82107,151.29957,76
BM-77,North Head West,-33.82296,151.29863,40
BM-77-1,Burragula Lookout,-33.8232,151.29852,31
BM-78,North Head East,-33.8219,151.30064,25
BM-78-1,Yiningma Lookout,-33.82184,151.30076,20
BM-79,North Head (Return),-33.82107,151.29957,76
BM-8,Gap Park,-33.84674,151.28623,37
BM-80,Hanging Swamp,-33.81444,151.30148,81
BM-80-1,No 1 Gun Emplacement South,-33.81782,151.29847,89
BM-80-2,No 2 Gun Emplacement North,-33.81657,151.29899,92
BM-81,The Barracks (Return),-33.81131,151.29761,90
BM-82,Old Quarry Swamp,-33.805,151.30069,76
BM-82-1,Wall Gate,-33.80278,151.30108,31
BM-83,Shelly Head,-33.79933,151.29755,6
BM-84,Shelly Beach,-33.80094,151.29841,9
BM-85,Manly Beach,-33.79695,151.28833,4
BM-9,The Gap,-33.84303,151.28424,26
BM-A1,Cremorne,-33.82813,151.2302,86
BM-A2,Mosman,-33.82411,151.24153,96
F-F1,Saint-Jean-Pied-de-Port,43.1634,-1.23579,183
F-F10,Puerto de Mezkiritz,42.9799,-1.38658,924
F-F100,Terradillos de los Templarios,42.36248,-4.89144,882
F-F101,Moratinos,42.36067,-4.92632,860
